,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
selection_sort,0.599,4.597,16.589,35.877,63.361,99.242,390.758,895.645,1579.621,2496.157,3702.505,4932.343,6498.476
insertion_sort,0.999,4.497,16.589,40.974,71.155,110.431,451.725,1017.469,1806.585,2834.548,4146.729,5548.561,7308.073
merge_sort,0.4,1.499,3.798,5.696,8.295,12.492,23.785,40.675,49.27,66.458,94.341,94.442,115.328
quick_sort,0.4,0.899,2.098,3.499,4.797,5.896,11.793,20.887,24.984,35.078,45.471,46.271,55.865
radix_sort,0.5,1.499,2.399,5.696,7.196,8.794,17.889,26.884,35.378,58.163,71.855,80.35,95.94
